"date","cases","deaths","icu","region"
"2020-03-28",146,5,79,"South Korea"
"2020-03-29",105,8,78,"South Korea"
"2020-03-30",78,6,74,"South Korea"
"2020-03-31",125,4,74,"South Korea"
"2020-04-01",101,3,76,"South Korea"
"2020-04-02",89,4,78,"South Korea"
"2020-04-03",86,5,80,"South Korea"
"2020-04-04",94,3,80,"South Korea"
"2020-04-05",81,6,81,"South Korea"
"2020-04-06",47,3,80,"South Korea"
"2020-04-07",47,6,77,"South Korea"
"2020-04-08",53,8,80,"South Korea"
"2020-04-09",39,4,80,"South Korea"
"2020-04-10",27,4,71,"South Korea"
"2020-04-11",30,3,67,"South Korea"
"2020-04-12",32,3,67,"South Korea"
"2020-04-13",25,3,66,"South Korea"
"2020-04-14",27,5,66,"South Korea"
"2020-04-15",27,3,65,"South Korea"
"2020-04-16",22,4,61,"South Korea"
"2020-04-17",22,1,61,"South Korea"
"2020-04-18",18,2,61,"South Korea"
"2020-04-19",8,2,57,"South Korea"
"2020-04-20",13,2,56,"South Korea"
"2020-04-21",9,1,56,"South Korea"
"2020-04-22",11,1,52,"South Korea"
"2020-04-23",8,2,49,"South Korea"
"2020-04-24",6,0,42,"South Korea"
"2020-04-25",10,0,46,"South Korea"
"2020-04-26",10,2,42,"South Korea"
"2020-04-27",10,1,42,"South Korea"
"2020-04-28",14,1,38,"South Korea"
"2020-04-29",9,2,37,"South Korea"
"2020-04-30",4,1,36,"South Korea"
"2020-05-01",9,1,33,"South Korea"
"2020-05-02",6,2,29,"South Korea"
"2020-05-03",13,0,29,"South Korea"
"2020-05-04",8,2,27,"South Korea"
"2020-05-05",3,2,27,"South Korea"
"2020-05-06",2,1,27,"South Korea"
"2020-05-07",4,1,25,"South Korea"
"2020-05-08",12,0,24,"South Korea"
"2020-05-09",18,0,23,"South Korea"
"2020-05-10",34,0,23,"South Korea"
"2020-05-11",35,0,23,"South Korea"
"2020-05-12",27,2,22,"South Korea"
"2020-05-13",26,1,20,"South Korea"
"2020-05-14",29,1,22,"South Korea"
"2020-05-15",27,0,22,"South Korea"
"2020-05-16",19,2,18,"South Korea"
"2020-05-17",13,0,18,"South Korea"
"2020-05-18",15,1,16,"South Korea"
"2020-05-19",13,0,15,"South Korea"
"2020-05-20",32,0,15,"South Korea"
"2020-05-21",12,1,16,"South Korea"
"2020-05-22",20,0,16,"South Korea"
"2020-05-23",23,2,14,"South Korea"
"2020-05-24",25,0,13,"South Korea"
"2020-05-25",16,1,13,"South Korea"
"2020-05-26",19,2,12,"South Korea"
"2020-05-27",40,0,12,"South Korea"
"2020-05-28",79,0,11,"South Korea"
"2020-05-29",58,0,10,"South Korea"
"2020-05-30",39,0,10,"South Korea"
"2020-05-31",27,1,11,"South Korea"
"2020-06-01",35,1,12,"South Korea"
"2020-06-02",38,1,11,"South Korea"
"2020-06-03",49,1,8,"South Korea"
"2020-06-04",39,0,9,"South Korea"
"2020-06-05",39,0,11,"South Korea"
"2020-06-06",51,0,14,"South Korea"
"2020-06-07",57,0,14,"South Korea"
"2020-06-08",37,0,14,"South Korea"
"2020-06-09",38,1,18,"South Korea"
"2020-06-10",50,2,20,"South Korea"
"2020-06-11",45,0,20,"South Korea"
"2020-06-12",56,1,18,"South Korea"
"2020-06-13",48,0,22,"South Korea"
"2020-06-14",34,0,22,"South Korea"
"2020-06-15",37,0,20,"South Korea"
"2020-06-16",34,1,24,"South Korea"
"2020-06-17",43,1,25,"South Korea"
"2020-06-18",59,1,27,"South Korea"
"2020-06-19",49,0,33,"South Korea"
"2020-06-20",67,0,33,"South Korea"
"2020-06-21",48,0,34,"South Korea"
"2020-06-22",17,0,34,"South Korea"
"2020-06-23",46,1,37,"South Korea"
"2020-06-24",51,0,38,"South Korea"
"2020-06-25",28,1,37,"South Korea"
"2020-06-26",39,0,35,"South Korea"
"2020-06-27",51,0,30,"South Korea"
"2020-06-28",62,0,32,"South Korea"
"2020-06-29",42,0,32,"South Korea"
"2020-06-30",42,0,32,"South Korea"
"2020-07-01",51,0,33,"South Korea"
"2020-07-02",54,0,34,"South Korea"
"2020-07-03",61,0,34,"South Korea"
"2020-07-04",63,1,30,"South Korea"
"2020-07-05",61,0,32,"South Korea"
"2020-07-06",48,1,32,"South Korea"
"2020-07-07",44,1,36,"South Korea"
"2020-07-08",62,0,31,"South Korea"
"2020-07-09",50,2,26,"South Korea"
"2020-07-10",45,1,22,"South Korea"
"2020-07-11",35,0,20,"South Korea"
"2020-07-12",44,1,19,"South Korea"
"2020-07-13",62,0,20,"South Korea"
"2020-07-14",33,0,17,"South Korea"
"2020-07-15",39,0,17,"South Korea"
"2020-07-16",61,2,16,"South Korea"
"2020-07-17",60,2,16,"South Korea"
"2020-07-18",39,1,19,"South Korea"
"2020-07-19",34,1,19,"South Korea"
"2020-07-20",26,1,19,"South Korea"
"2020-07-21",45,0,21,"South Korea"
"2020-07-22",63,1,21,"South Korea"
"2020-07-23",59,0,18,"South Korea"
"2020-07-24",41,1,16,"South Korea"
