"date","region","cum_cases","cum_deaths","daily_cases"
"2023-01-01","Seoul","5673241","6065","9990"
"2023-01-01","Busan","1721030","2692","4064"
"2023-01-01","Gyeongsangbuk-do","1329501","1953","2787"
"2023-01-01","Jeollanam-do","949367","881","1843"
"2023-01-01","Total","29116800","32219","57391"
"2023-01-01","Incheon","1690499","1750","3619"
"2023-01-01","Gangwon-do","861251","1225","1400"
"2023-01-01","Lazaretto","16795","16","0"
"2023-01-01","Gwangju","850624","775","1563"
"2023-01-01","Chungcheongnam-do","1176252","1470","2427"
"2023-01-01","Sejong","230763","50","541"
"2023-01-01","Jeollabuk-do","974778","1141","1900"
"2023-01-01","Chungcheongbuk-do","913921","970","1574"
"2023-01-01","Daejeon","850275","890","1655"
"2023-01-01","Gyeongsangnam-do","1736948","1754","3926"
"2023-01-01","Jeju","366548","241","588"
"2023-01-01","Ulsan","619633","500","1430"
"2023-01-01","Gyeonggi-do","7884045","7980","15638"
"2023-01-01","Daegu","1271329","1866","2472"
"2023-01-02","Busan","1722207","2695","1177"
"2023-01-02","Chungcheongbuk-do","914807","970","885"
"2023-01-02","Ulsan","620230","501","596"
"2023-01-02","Gyeongsangbuk-do","1330717","1954","1215"
"2023-01-02","Gwangju","851322","776","698"
"2023-01-02","Total","29139535","32272","22688"
"2023-01-02","Jeju","367029","241","481"
"2023-01-02","Jeollabuk-do","975469","1143","691"
"2023-01-02","Gangwon-do","861956","1229","705"
"2023-01-02","Incheon","1691843","1755","1344"
"2023-01-02","Seoul","5676545","6075","3304"
"2023-01-02","Gyeongsangnam-do","1738496","1755","1548"
"2023-01-02","Chungcheongnam-do","1177220","1474","968"
"2023-01-02","Sejong","230968","50","205"
"2023-01-02","Lazaretto","16825","16","0"
"2023-01-02","Jeollanam-do","950254","884","887"
"2023-01-02","Gyeonggi-do","7890710","7995","6665"
"2023-01-02","Daejeon","851014","892","739"
"2023-01-02","Daegu","1271923","1867","592"
"2023-01-03","Gwangju","852801","777","1479"
"2023-01-03","Jeollanam-do","953033","884","2779"
"2023-01-03","Jeollabuk-do","977669","1146","2199"
"2023-01-03","Busan","1728836","2696","6628"
"2023-01-03","Incheon","1697034","1756","5178"
"2023-01-03","Lazaretto","16867","16","0"
"2023-01-03","Daejeon","853378","892","2364"
"2023-01-03","Chungcheongnam-do","1180532","1477","3312"
"2023-01-03","Daegu","1274986","1871","3060"
"2023-01-03","Chungcheongbuk-do","916906","971","2098"
"2023-01-03","Ulsan","621845","502","1615"
"2023-01-03","Gyeongsangbuk-do","1333533","1957","2815"
"2023-01-03","Total","29220591","32301","80978"
"2023-01-03","Gyeongsangnam-do","1743649","1758","5153"
"2023-01-03","Gangwon-do","863675","1230","1719"
"2023-01-03","Sejong","231613","50","645"
"2023-01-03","Gyeonggi-do","7913091","7997","22381"
"2023-01-03","Jeju","367632","241","602"
"2023-01-03","Seoul","5693511","6080","16966"
"2023-01-04","Total","29299166","32355","78392"
"2023-01-04","Lazaretto","16712","16","0"
"2023-01-04","Chungcheongbuk-do","912347","973","2395"
"2023-01-04","Jeollabuk-do","980261","1147","2590"
"2023-01-04","Seoul","5707426","6094","13915"
"2023-01-04","Daegu","1278136","1872","3141"
"2023-01-04","Gyeongsangnam-do","1749019","1763","5369"
"2023-01-04","Incheon","1701842","1759","4732"
"2023-01-04","Busan","1734206","2702","5370"
"2023-01-04","Gyeongsangnam-do","1733021","1763","5369"
"2023-01-04","Jeollabuk-do","972878","1147","2590"
"2023-01-04","Gangwon-do","859851","1231","2103"
"2023-01-04","Jeju","365960","244","1033"
"2023-01-04","Chungcheongbuk-do","919302","973","2395"
"2023-01-04","Gangwon-do","865778","1231","2103"
"2023-01-04","Jeollanam-do","955532","885","2499"
"2023-01-04","Gyeongsangbuk-do","1337249","1960","3712"
"2023-01-04","Daegu","1268852","1872","3141"
"2023-01-04","Daejeon","848620","892","2138"
"2023-01-04","Gyeongsangbuk-do","1326714","1960","3712"
"2023-01-04","Busan","1716966","2702","5370"
"2023-01-04","Sejong","232236","50","622"
"2023-01-04","Total","29059273","32355","78403"
"2023-01-04","Jeollanam-do","947524","885","2499"
"2023-01-04","Ulsan","624027","503","2180"
"2023-01-04","Gyeonggi-do","7934066","8008","20974"
"2023-01-04","Incheon","1686864","1759","4732"
"2023-01-04","Jeju","368665","244","1033"
"2023-01-04","Chungcheongnam-do","1183880","1478","3347"
"2023-01-04","Chungcheongnam-do","1173825","1478","3347"
"2023-01-04","Gyeonggi-do","7868406","8008","20974"
"2023-01-04","Sejong","230222","50","622"
"2023-01-04","Seoul","5663251","6094","13915"
"2023-01-04","Gwangju","849060","778","2283"
"2023-01-04","Lazaretto","16888","16","0"
"2023-01-04","Daejeon","855569","892","2138"
"2023-01-04","Gwangju","855084","778","2283"
"2023-01-04","Ulsan","618200","503","2180"
"2023-01-05","Total","29363272","32421","63901"
"2023-01-05","Busan","1738691","2703","4484"
"2023-01-05","Sejong","232705","50","469"
"2023-01-05","Jeollanam-do","957784","885","2251"
"2023-01-05","Ulsan","625656","504","1624"
"2023-01-05","Incheon","1705930","1772","4000"
"2023-01-05","Chungcheongnam-do","1186626","1479","2744"
