"date","region","cum_cases","cum_deaths","daily_cases","per_100k"
"2020-01-20","Gyeongsangbuk-do",0,0,0,"0.00"
"2020-01-20","Sejong",0,0,0,"0.00"
"2020-01-20","Lazaretto",0,0,0,"0.00"
"2020-01-20","Total",1,0,0,"0.00"
"2020-01-20","Jeollanam-do",0,0,0,"0.00"
"2020-01-20","Gwangju",0,0,0,"0.00"
"2020-01-20","Gyeonggi-do",0,0,0,"0.00"
"2020-01-20","Jeollabuk-do",0,0,0,"0.00"
"2020-01-20","Daejeon",0,0,0,"0.00"
"2020-01-20","Chungcheongnam-do",0,0,0,"0.00"
"2020-01-20","Chungcheongbuk-do",0,0,0,"0.00"
"2020-01-20","Jeju",0,0,0,"0.00"
"2020-01-20","Incheon",1,0,0,"0.00"
"2020-01-20","Seoul",0,0,0,"0.00"
"2020-01-20","Ulsan",0,0,0,"0.00"
"2020-01-20","Daegu",0,0,0,"0.00"
"2020-01-20","Gyeongsangnam-do",0,0,0,"0.00"
"2020-01-20","Busan",0,0,0,"0.00"
"2020-01-20","Gangwon-do",0,0,0,"0.00"
"2020-01-21","Busan",0,0,0,"0.00"
"2020-01-21","Gangwon-do",0,0,0,"0.00"
"2020-01-21","Lazaretto",0,0,0,"0.00"
"2020-01-21","Gwangju",0,0,0,"0.00"
"2020-01-21","Ulsan",0,0,0,"0.00"
"2020-01-21","Gyeongsangnam-do",0,0,0,"0.00"
"2020-01-21","Jeju",0,0,0,"0.00"
"2020-01-21","Jeollabuk-do",0,0,0,"0.00"
"2020-01-21","Seoul",0,0,0,"0.00"
"2020-01-21","Jeollanam-do",0,0,0,"0.00"
"2020-01-21","Daejeon",0,0,0,"0.00"
"2020-01-21","Daegu",0,0,0,"0.00"
"2020-01-21","Gyeonggi-do",0,0,0,"0.00"
"2020-01-21","Chungcheongnam-do",0,0,0,"0.00"
"2020-01-21","Gyeongsangbuk-do",0,0,0,"0.00"
"2020-01-21","Incheon",1,0,0,"0.00"
"2020-01-21","Total",1,0,0,"0.00"
"2020-01-21","Sejong",0,0,0,"0.00"
"2020-01-21","Chungcheongbuk-do",0,0,0,"0.00"
"2020-01-22","Gyeonggi-do",0,0,0,"0.00"
"2020-01-22","Jeju",0,0,0,"0.00"
"2020-01-22","Daegu",0,0,0,"0.00"
"2020-01-22","Seoul",0,0,0,"0.00"
"2020-01-22","Jeollabuk-do",0,0,0,"0.00"
"2020-01-22","Lazaretto",0,0,0,"0.00"
"2020-01-22","Chungcheongnam-do",0,0,0,"0.00"
"2020-01-22","Gangwon-do",0,0,0,"0.00"
"2020-01-22","Chungcheongbuk-do",0,0,0,"0.00"
"2020-01-22","Busan",0,0,0,"0.00"
"2020-01-22","Daejeon",0,0,0,"0.00"
