"","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","stdDay"
"1","0","0","경북","庆北","Gyeongsangbuk-do","0","0","0","0","0","0.00","2020-01-20"
"2","0","0","세종","世宗","Sejong","0","0","0","0","0","0.00","2020-01-20"
"3","0","0","검역","隔離區","Lazaretto","0","0","0","0","0","0.00","2020-01-20"
"4","0","1","합계","合计","Total","0","0","1","0","1","0.00","2020-01-20"
"5","0","0","전남","全南","Jeollanam-do","0","0","0","0","0","0.00","2020-01-20"
"6","0","0","광주","光州","Gwangju","0","0","0","0","0","0.00","2020-01-20"
"7","0","0","경기","京畿","Gyeonggi-do","0","0","0","0","0","0.00","2020-01-20"
"8","0","0","전북","全北","Jeollabuk-do","0","0","0","0","0","0.00","2020-01-20"
"9","0","0","대전","大田","Daejeon","0","0","0","0","0","0.00","2020-01-20"
"10","0","0","충남","忠南","Chungcheongnam-do","0","0","0","0","0","0.00","2020-01-20"
"11","0","0","충북","忠北","Chungcheongbuk-do","0","0","0","0","0","0.00","2020-01-20"
"12","0","0","제주","济州","Jeju","0","0","0","0","0","0.00","2020-01-20"
"13","0","1","인천","仁川","Incheon","0","0","1","0","1","0.00","2020-01-20"
"14","0","0","서울","首尔","Seoul","0","0","0","0","0","0.00","2020-01-20"
"15","0","0","울산","蔚山","Ulsan","0","0","0","0","0","0.00","2020-01-20"
"16","0","0","대구","大邱","Daegu","0","0","0","0","0","0.00","2020-01-20"
"17","0","0","경남","庆南","Gyeongsangnam-do","0","0","0","0","0","0.00","2020-01-20"
"18","0","0","부산","釜山","Busan","0","0","0","0","0","0.00","2020-01-20"
"19","0","0","강원","江原","Gangwon-do","0","0","0","0","0","0.00","2020-01-20"
"20","0","0","부산","釜山","Busan","0","0","0","0","0","0.00","2020-01-21"
"21","0","0","강원","江原","Gangwon-do","0","0","0","0","0","0.00","2020-01-21"
"22","0","0","검역","隔離區","Lazaretto","0","0","0","0","0","0.00","2020-01-21"
"23","0","0","광주","光州","Gwangju","0","0","0","0","0","0.00","2020-01-21"
"24","0","0","울산","蔚山","Ulsan","0","0","0","0","0","0.00","2020-01-21"
"25","0","0","경남","庆南","Gyeongsangnam-do","0","0","0","0","0","0.00","2020-01-21"
"26","0","0","제주","济州","Jeju","0","0","0","0","0","0.00","2020-01-21"
"27","0","0","전북","全北","Jeollabuk-do","0","0","0","0","0","0.00","2020-01-21"
"28","0","0","서울","首尔","Seoul","0","0","0","0","0","0.00","2020-01-21"
